review_profilename_index,recommendations
232,"[Row(beer_beerid=45680, rating=4.823182106018066), Row(beer_beerid=51494, rating=4.81974983215332)]"
233,"[Row(beer_beerid=51494, rating=5.091818809509277), Row(beer_beerid=42941, rating=5.003098487854004)]"
236,"[Row(beer_beerid=52862, rating=5.036003112792969), Row(beer_beerid=35361, rating=4.988889694213867)]"
243,"[Row(beer_beerid=20507, rating=5.305181980133057), Row(beer_beerid=45680, rating=5.156071186065674)]"
246,"[Row(beer_beerid=51494, rating=4.919915199279785), Row(beer_beerid=52862, rating=4.891275882720947)]"
251,"[Row(beer_beerid=51494, rating=5.048192501068115), Row(beer_beerid=35361, rating=5.011899471282959)]"
253,"[Row(beer_beerid=42941, rating=4.988755702972412), Row(beer_beerid=51494, rating=4.977635383605957)]"
255,"[Row(beer_beerid=51494, rating=5.15639066696167), Row(beer_beerid=58479, rating=5.01555061340332)]"
259,"[Row(beer_beerid=51494, rating=4.943447113037109), Row(beer_beerid=42941, rating=4.913822650909424)]"
271,"[Row(beer_beerid=42941, rating=4.934047698974609), Row(beer_beerid=51494, rating=4.9190239906311035)]"
274,"[Row(beer_beerid=51494, rating=5.2370805740356445), Row(beer_beerid=35361, rating=5.183117866516113)]"
280,"[Row(beer_beerid=51494, rating=4.848277568817139), Row(beer_beerid=35361, rating=4.838452339172363)]"
285,"[Row(beer_beerid=42941, rating=4.987151145935059), Row(beer_beerid=51494, rating=4.982717037200928)]"
291,"[Row(beer_beerid=52862, rating=4.715239524841309), Row(beer_beerid=42941, rating=4.645318508148193)]"
296,"[Row(beer_beerid=51494, rating=4.873711109161377), Row(beer_beerid=52862, rating=4.859181880950928)]"
297,"[Row(beer_beerid=51494, rating=5.001912593841553), Row(beer_beerid=45400, rating=4.865035533905029)]"
300,"[Row(beer_beerid=51494, rating=4.775699615478516), Row(beer_beerid=66841, rating=4.742142677307129)]"
305,"[Row(beer_beerid=51494, rating=5.270594120025635), Row(beer_beerid=35361, rating=5.243718147277832)]"
319,"[Row(beer_beerid=42941, rating=4.949383735656738), Row(beer_beerid=35361, rating=4.935492515563965)]"
321,"[Row(beer_beerid=42941, rating=5.122300624847412), Row(beer_beerid=51494, rating=5.088064670562744)]"
322,"[Row(beer_beerid=52862, rating=5.3390984535217285), Row(beer_beerid=51494, rating=5.063551425933838)]"
325,"[Row(beer_beerid=51494, rating=5.126401424407959), Row(beer_beerid=52862, rating=5.120748996734619)]"
329,"[Row(beer_beerid=51494, rating=5.135436058044434), Row(beer_beerid=42941, rating=5.085640907287598)]"
330,"[Row(beer_beerid=51494, rating=5.006279945373535), Row(beer_beerid=42941, rating=4.986265659332275)]"
332,"[Row(beer_beerid=52862, rating=4.947887897491455), Row(beer_beerid=35361, rating=4.887822151184082)]"
333,"[Row(beer_beerid=51494, rating=4.9891204833984375), Row(beer_beerid=42941, rating=4.95388126373291)]"
336,"[Row(beer_beerid=51494, rating=5.133020877838135), Row(beer_beerid=42941, rating=5.119660377502441)]"
346,"[Row(beer_beerid=51494, rating=5.106497764587402), Row(beer_beerid=42941, rating=4.9942097663879395)]"
348,"[Row(beer_beerid=51494, rating=4.974393844604492), Row(beer_beerid=35361, rating=4.894519805908203)]"
350,"[Row(beer_beerid=51494, rating=4.09992790222168), Row(beer_beerid=35361, rating=4.095402717590332)]"
353,"[Row(beer_beerid=51494, rating=5.061263561248779), Row(beer_beerid=35361, rating=5.0495405197143555)]"
355,"[Row(beer_beerid=52862, rating=5.730498790740967), Row(beer_beerid=58479, rating=5.275522708892822)]"
360,"[Row(beer_beerid=76115, rating=4.9332499504089355), Row(beer_beerid=53731, rating=4.9332499504089355)]"
362,"[Row(beer_beerid=52862, rating=5.328417778015137), Row(beer_beerid=58479, rating=5.058053970336914)]"
363,"[Row(beer_beerid=51494, rating=5.294657230377197), Row(beer_beerid=42941, rating=5.29285192489624)]"
367,"[Row(beer_beerid=51494, rating=5.099141597747803), Row(beer_beerid=35361, rating=4.956376552581787)]"
368,"[Row(beer_beerid=51494, rating=4.7543253898620605), Row(beer_beerid=42941, rating=4.58343505859375)]"
372,"[Row(beer_beerid=52862, rating=5.507676601409912), Row(beer_beerid=73262, rating=5.339905261993408)]"
375,"[Row(beer_beerid=52862, rating=4.953620433807373), Row(beer_beerid=25702, rating=4.935953617095947)]"
384,"[Row(beer_beerid=42941, rating=4.960564613342285), Row(beer_beerid=76115, rating=4.949946403503418)]"
385,"[Row(beer_beerid=42941, rating=4.869327068328857), Row(beer_beerid=45680, rating=4.868680477142334)]"
386,"[Row(beer_beerid=51494, rating=4.930613994598389), Row(beer_beerid=25702, rating=4.897067070007324)]"
388,"[Row(beer_beerid=51494, rating=5.061679363250732), Row(beer_beerid=45400, rating=4.990936279296875)]"
392,"[Row(beer_beerid=52862, rating=5.007840633392334), Row(beer_beerid=51494, rating=4.923511505126953)]"
406,"[Row(beer_beerid=52862, rating=4.981413841247559), Row(beer_beerid=67231, rating=4.9449782371521)]"
409,"[Row(beer_beerid=42941, rating=4.890852928161621), Row(beer_beerid=51494, rating=4.837149620056152)]"
412,"[Row(beer_beerid=76115, rating=5.332417964935303), Row(beer_beerid=53731, rating=5.332417964935303)]"
416,"[Row(beer_beerid=51494, rating=4.9094696044921875), Row(beer_beerid=46517, rating=4.7538018226623535)]"
417,"[Row(beer_beerid=51494, rating=5.114536285400391), Row(beer_beerid=42941, rating=5.065909385681152)]"
435,"[Row(beer_beerid=74086, rating=5.088030815124512), Row(beer_beerid=73262, rating=4.965240955352783)]"
436,"[Row(beer_beerid=51494, rating=4.847543716430664), Row(beer_beerid=35361, rating=4.77420711517334)]"
440,"[Row(beer_beerid=52862, rating=4.951887607574463), Row(beer_beerid=51494, rating=4.95077657699585)]"
442,"[Row(beer_beerid=51494, rating=4.858102798461914), Row(beer_beerid=42941, rating=4.7656683921813965)]"
444,"[Row(beer_beerid=51494, rating=4.6719069480896), Row(beer_beerid=42941, rating=4.607706069946289)]"
451,"[Row(beer_beerid=52862, rating=4.964506149291992), Row(beer_beerid=51494, rating=4.961302757263184)]"
458,"[Row(beer_beerid=67231, rating=5.068648338317871), Row(beer_beerid=52862, rating=5.0658488273620605)]"
460,"[Row(beer_beerid=51494, rating=4.939300060272217), Row(beer_beerid=45680, rating=4.828755855560303)]"
463,"[Row(beer_beerid=51494, rating=5.063881874084473), Row(beer_beerid=42941, rating=5.028244495391846)]"
471,"[Row(beer_beerid=52862, rating=5.1280741691589355), Row(beer_beerid=67231, rating=5.113766193389893)]"
472,"[Row(beer_beerid=51494, rating=5.157801151275635), Row(beer_beerid=42941, rating=5.106726169586182)]"
473,"[Row(beer_beerid=35361, rating=5.2247090339660645), Row(beer_beerid=25702, rating=5.037056922912598)]"
476,"[Row(beer_beerid=52862, rating=5.051510334014893), Row(beer_beerid=42941, rating=4.97430419921875)]"
481,"[Row(beer_beerid=25702, rating=4.688552379608154), Row(beer_beerid=51494, rating=4.686509609222412)]"
493,"[Row(beer_beerid=51494, rating=4.965417385101318), Row(beer_beerid=45400, rating=4.891109466552734)]"
496,"[Row(beer_beerid=51494, rating=4.943193435668945), Row(beer_beerid=42941, rating=4.903953552246094)]"
497,"[Row(beer_beerid=42941, rating=5.076005935668945), Row(beer_beerid=67231, rating=5.05365514755249)]"
501,"[Row(beer_beerid=65602, rating=5.61915397644043), Row(beer_beerid=66415, rating=5.461358070373535)]"
512,"[Row(beer_beerid=67231, rating=4.902548789978027), Row(beer_beerid=25702, rating=4.901839733123779)]"
513,"[Row(beer_beerid=42941, rating=5.489380359649658), Row(beer_beerid=45680, rating=5.485137462615967)]"
516,"[Row(beer_beerid=51494, rating=5.080528259277344), Row(beer_beerid=42941, rating=5.065659046173096)]"
519,"[Row(beer_beerid=51494, rating=5.154255390167236), Row(beer_beerid=42941, rating=5.083805084228516)]"
530,"[Row(beer_beerid=52862, rating=5.517692565917969), Row(beer_beerid=42941, rating=5.317214012145996)]"
539,"[Row(beer_beerid=76115, rating=4.837288856506348), Row(beer_beerid=53731, rating=4.837288856506348)]"
540,"[Row(beer_beerid=51494, rating=5.031619548797607), Row(beer_beerid=58479, rating=4.949897766113281)]"
548,"[Row(beer_beerid=52862, rating=4.789063930511475), Row(beer_beerid=67231, rating=4.749516010284424)]"
556,"[Row(beer_beerid=51494, rating=4.963494300842285), Row(beer_beerid=42941, rating=4.916744232177734)]"
577,"[Row(beer_beerid=42941, rating=4.987092018127441), Row(beer_beerid=35361, rating=4.961177825927734)]"
578,"[Row(beer_beerid=52862, rating=5.457010746002197), Row(beer_beerid=67231, rating=5.112114429473877)]"
580,"[Row(beer_beerid=52862, rating=5.558065891265869), Row(beer_beerid=73262, rating=4.940974712371826)]"
581,"[Row(beer_beerid=52862, rating=5.081833839416504), Row(beer_beerid=51494, rating=5.000301361083984)]"
587,"[Row(beer_beerid=51494, rating=5.216610908508301), Row(beer_beerid=42941, rating=5.168430328369141)]"
588,"[Row(beer_beerid=42941, rating=5.118176460266113), Row(beer_beerid=67231, rating=5.118007183074951)]"
593,"[Row(beer_beerid=51494, rating=4.886634349822998), Row(beer_beerid=42941, rating=4.858777046203613)]"
596,"[Row(beer_beerid=51494, rating=4.983865737915039), Row(beer_beerid=42941, rating=4.980159282684326)]"
597,"[Row(beer_beerid=51494, rating=5.160184383392334), Row(beer_beerid=35361, rating=5.137450695037842)]"
599,"[Row(beer_beerid=51494, rating=5.28160285949707), Row(beer_beerid=42941, rating=5.241150856018066)]"
601,"[Row(beer_beerid=42941, rating=5.494137287139893), Row(beer_beerid=51494, rating=5.445188999176025)]"
602,"[Row(beer_beerid=35361, rating=5.100286483764648), Row(beer_beerid=51494, rating=5.078144073486328)]"
603,"[Row(beer_beerid=51494, rating=4.99837589263916), Row(beer_beerid=35361, rating=4.957059383392334)]"
604,"[Row(beer_beerid=42941, rating=5.321549892425537), Row(beer_beerid=76115, rating=5.293783664703369)]"
606,"[Row(beer_beerid=52862, rating=4.856722354888916), Row(beer_beerid=66841, rating=4.748313903808594)]"
613,"[Row(beer_beerid=51494, rating=5.132389068603516), Row(beer_beerid=35361, rating=5.123978137969971)]"
618,"[Row(beer_beerid=51494, rating=4.958389759063721), Row(beer_beerid=45400, rating=4.899390697479248)]"
623,"[Row(beer_beerid=51494, rating=5.171849727630615), Row(beer_beerid=42941, rating=5.122884750366211)]"
625,"[Row(beer_beerid=42941, rating=5.046379566192627), Row(beer_beerid=76115, rating=5.039804935455322)]"
626,"[Row(beer_beerid=51494, rating=4.924330234527588), Row(beer_beerid=35361, rating=4.906315326690674)]"
631,"[Row(beer_beerid=35361, rating=5.055105209350586), Row(beer_beerid=51494, rating=5.030609130859375)]"
633,"[Row(beer_beerid=51494, rating=5.104395389556885), Row(beer_beerid=42941, rating=5.020671367645264)]"
642,"[Row(beer_beerid=52862, rating=5.053869247436523), Row(beer_beerid=51494, rating=5.032094955444336)]"
654,"[Row(beer_beerid=51494, rating=5.179601669311523), Row(beer_beerid=42941, rating=5.143607139587402)]"
660,"[Row(beer_beerid=51494, rating=5.094422340393066), Row(beer_beerid=52862, rating=5.058332443237305)]"
663,"[Row(beer_beerid=42941, rating=4.924295902252197), Row(beer_beerid=76115, rating=4.905452251434326)]"
665,"[Row(beer_beerid=51494, rating=5.082007884979248), Row(beer_beerid=58479, rating=5.014049530029297)]"
667,"[Row(beer_beerid=35361, rating=5.438620567321777), Row(beer_beerid=51494, rating=5.430242538452148)]"
671,"[Row(beer_beerid=25702, rating=4.925965785980225), Row(beer_beerid=42941, rating=4.902148723602295)]"
673,"[Row(beer_beerid=51494, rating=4.962751865386963), Row(beer_beerid=42941, rating=4.911246299743652)]"
674,"[Row(beer_beerid=67231, rating=5.01052188873291), Row(beer_beerid=45680, rating=5.01014518737793)]"
683,"[Row(beer_beerid=52862, rating=5.526307106018066), Row(beer_beerid=35361, rating=5.3538312911987305)]"
685,"[Row(beer_beerid=51494, rating=5.1780686378479), Row(beer_beerid=42941, rating=5.107184410095215)]"
686,"[Row(beer_beerid=51494, rating=5.131461143493652), Row(beer_beerid=35361, rating=4.981274604797363)]"
688,"[Row(beer_beerid=51494, rating=4.769717216491699), Row(beer_beerid=64744, rating=4.709047317504883)]"
689,"[Row(beer_beerid=76115, rating=5.247433185577393), Row(beer_beerid=53731, rating=5.247433185577393)]"
694,"[Row(beer_beerid=76115, rating=5.057131767272949), Row(beer_beerid=53731, rating=5.057131767272949)]"
696,"[Row(beer_beerid=51494, rating=5.0953288078308105), Row(beer_beerid=13222, rating=4.947748184204102)]"
699,"[Row(beer_beerid=58479, rating=5.261509895324707), Row(beer_beerid=57390, rating=5.261509895324707)]"
704,"[Row(beer_beerid=51494, rating=4.863479137420654), Row(beer_beerid=42941, rating=4.788340091705322)]"
707,"[Row(beer_beerid=52862, rating=5.2320475578308105), Row(beer_beerid=51494, rating=4.934692859649658)]"
711,"[Row(beer_beerid=51494, rating=5.165356636047363), Row(beer_beerid=68614, rating=5.053161144256592)]"
715,"[Row(beer_beerid=35361, rating=4.966937065124512), Row(beer_beerid=25702, rating=4.897371768951416)]"
723,"[Row(beer_beerid=51494, rating=5.2737298011779785), Row(beer_beerid=64744, rating=5.208650588989258)]"
725,"[Row(beer_beerid=42941, rating=5.316040992736816), Row(beer_beerid=25702, rating=5.289660930633545)]"
727,"[Row(beer_beerid=51494, rating=5.29124641418457), Row(beer_beerid=42941, rating=5.244425296783447)]"
731,"[Row(beer_beerid=42941, rating=5.100357532501221), Row(beer_beerid=67231, rating=5.091343879699707)]"
734,"[Row(beer_beerid=65602, rating=4.897475242614746), Row(beer_beerid=76115, rating=4.890906810760498)]"
737,"[Row(beer_beerid=52862, rating=5.066750526428223), Row(beer_beerid=51494, rating=5.029499053955078)]"
738,"[Row(beer_beerid=51494, rating=5.05272102355957), Row(beer_beerid=45680, rating=4.9294819831848145)]"
743,"[Row(beer_beerid=76115, rating=5.376408576965332), Row(beer_beerid=53731, rating=5.376408576965332)]"
744,"[Row(beer_beerid=67231, rating=5.082334041595459), Row(beer_beerid=52862, rating=5.079709529876709)]"
747,"[Row(beer_beerid=51494, rating=4.964633941650391), Row(beer_beerid=42941, rating=4.89267110824585)]"
748,"[Row(beer_beerid=42941, rating=5.099625110626221), Row(beer_beerid=76115, rating=5.090391635894775)]"
756,"[Row(beer_beerid=76115, rating=4.836474418640137), Row(beer_beerid=53731, rating=4.836474418640137)]"
758,"[Row(beer_beerid=52862, rating=5.533199787139893), Row(beer_beerid=67231, rating=5.163360595703125)]"
762,"[Row(beer_beerid=45680, rating=4.866949081420898), Row(beer_beerid=51494, rating=4.855825424194336)]"
768,"[Row(beer_beerid=51494, rating=5.026200771331787), Row(beer_beerid=35361, rating=4.974487781524658)]"
770,"[Row(beer_beerid=42941, rating=5.1272382736206055), Row(beer_beerid=76115, rating=5.107276439666748)]"
772,"[Row(beer_beerid=52862, rating=5.207162857055664), Row(beer_beerid=42941, rating=5.134538650512695)]"
774,"[Row(beer_beerid=51494, rating=4.933713912963867), Row(beer_beerid=42941, rating=4.913976669311523)]"
777,"[Row(beer_beerid=1270, rating=5.595010280609131), Row(beer_beerid=44671, rating=5.381109714508057)]"
784,"[Row(beer_beerid=35361, rating=5.094176769256592), Row(beer_beerid=42941, rating=5.094061374664307)]"
787,"[Row(beer_beerid=1270, rating=4.9617791175842285), Row(beer_beerid=54698, rating=4.837475299835205)]"
792,"[Row(beer_beerid=51494, rating=5.141867637634277), Row(beer_beerid=35361, rating=5.009514808654785)]"
796,"[Row(beer_beerid=51494, rating=5.131888389587402), Row(beer_beerid=35361, rating=5.04557466506958)]"
797,"[Row(beer_beerid=42941, rating=5.096122741699219), Row(beer_beerid=51494, rating=5.081140041351318)]"
799,"[Row(beer_beerid=42941, rating=5.016846179962158), Row(beer_beerid=51494, rating=5.001152515411377)]"
804,"[Row(beer_beerid=42941, rating=5.274290084838867), Row(beer_beerid=51494, rating=5.269930362701416)]"
806,"[Row(beer_beerid=52862, rating=5.231271266937256), Row(beer_beerid=67231, rating=5.099305629730225)]"
808,"[Row(beer_beerid=52862, rating=5.2285308837890625), Row(beer_beerid=58479, rating=4.994759559631348)]"
811,"[Row(beer_beerid=52862, rating=4.7968316078186035), Row(beer_beerid=51494, rating=4.766308784484863)]"
822,"[Row(beer_beerid=65602, rating=5.475220203399658), Row(beer_beerid=66415, rating=5.3399739265441895)]"
827,"[Row(beer_beerid=52862, rating=5.085996627807617), Row(beer_beerid=51494, rating=5.049528121948242)]"
830,"[Row(beer_beerid=42941, rating=5.029464244842529), Row(beer_beerid=76115, rating=4.972533226013184)]"
831,"[Row(beer_beerid=51494, rating=5.210559368133545), Row(beer_beerid=42941, rating=5.190464019775391)]"
833,"[Row(beer_beerid=51494, rating=5.176976203918457), Row(beer_beerid=42941, rating=5.1135149002075195)]"
842,"[Row(beer_beerid=51494, rating=5.339056968688965), Row(beer_beerid=42941, rating=5.296064853668213)]"
844,"[Row(beer_beerid=51494, rating=5.164933204650879), Row(beer_beerid=42941, rating=5.143378257751465)]"
847,"[Row(beer_beerid=51494, rating=5.1721978187561035), Row(beer_beerid=42941, rating=5.157198905944824)]"
853,"[Row(beer_beerid=42941, rating=5.1443772315979), Row(beer_beerid=45400, rating=5.13716983795166)]"
855,"[Row(beer_beerid=52862, rating=5.122501373291016), Row(beer_beerid=66841, rating=5.11755895614624)]"
857,"[Row(beer_beerid=51494, rating=5.002090930938721), Row(beer_beerid=35361, rating=4.934958457946777)]"
858,"[Row(beer_beerid=52862, rating=5.1377787590026855), Row(beer_beerid=51494, rating=5.1089372634887695)]"
860,"[Row(beer_beerid=51494, rating=5.102024555206299), Row(beer_beerid=35361, rating=5.090521812438965)]"
861,"[Row(beer_beerid=52862, rating=4.954892158508301), Row(beer_beerid=51494, rating=4.796291828155518)]"
874,"[Row(beer_beerid=51494, rating=5.382961273193359), Row(beer_beerid=35361, rating=5.351706504821777)]"
875,"[Row(beer_beerid=51494, rating=5.004083633422852), Row(beer_beerid=35361, rating=4.887609481811523)]"
876,"[Row(beer_beerid=51494, rating=5.158794403076172), Row(beer_beerid=52862, rating=5.121356964111328)]"
879,"[Row(beer_beerid=52862, rating=4.9158935546875), Row(beer_beerid=67231, rating=4.837009429931641)]"
882,"[Row(beer_beerid=52862, rating=5.571874141693115), Row(beer_beerid=58479, rating=5.206552982330322)]"
883,"[Row(beer_beerid=51494, rating=5.063108921051025), Row(beer_beerid=42941, rating=5.001977443695068)]"
896,"[Row(beer_beerid=1819, rating=4.803533554077148), Row(beer_beerid=21646, rating=4.686323165893555)]"
897,"[Row(beer_beerid=51494, rating=5.249294281005859), Row(beer_beerid=42941, rating=5.211464881896973)]"
898,"[Row(beer_beerid=51494, rating=5.0867180824279785), Row(beer_beerid=42941, rating=5.051364421844482)]"
906,"[Row(beer_beerid=42941, rating=5.057891845703125), Row(beer_beerid=76115, rating=5.0483078956604)]"
908,"[Row(beer_beerid=58479, rating=5.14412260055542), Row(beer_beerid=57390, rating=5.14412260055542)]"
912,"[Row(beer_beerid=45680, rating=4.85047721862793), Row(beer_beerid=67231, rating=4.826945781707764)]"
914,"[Row(beer_beerid=1819, rating=5.035773754119873), Row(beer_beerid=58479, rating=4.936309814453125)]"
916,"[Row(beer_beerid=42941, rating=4.9257612228393555), Row(beer_beerid=51494, rating=4.900409698486328)]"
918,"[Row(beer_beerid=51494, rating=4.918544292449951), Row(beer_beerid=25702, rating=4.846603870391846)]"
924,"[Row(beer_beerid=51494, rating=5.2021589279174805), Row(beer_beerid=42941, rating=5.10072660446167)]"
926,"[Row(beer_beerid=51494, rating=5.167667388916016), Row(beer_beerid=42941, rating=5.128063201904297)]"
935,"[Row(beer_beerid=51494, rating=4.9275288581848145), Row(beer_beerid=52862, rating=4.902652740478516)]"
939,"[Row(beer_beerid=42941, rating=5.1794939041137695), Row(beer_beerid=51494, rating=5.145930290222168)]"
950,"[Row(beer_beerid=52862, rating=4.811789512634277), Row(beer_beerid=51494, rating=4.741240978240967)]"
955,"[Row(beer_beerid=25702, rating=4.978933334350586), Row(beer_beerid=54147, rating=4.961199760437012)]"
961,"[Row(beer_beerid=35361, rating=4.833091735839844), Row(beer_beerid=51494, rating=4.816370487213135)]"
970,"[Row(beer_beerid=73262, rating=4.9885969161987305), Row(beer_beerid=52862, rating=4.980942726135254)]"
973,"[Row(beer_beerid=52862, rating=4.28850793838501), Row(beer_beerid=58479, rating=4.278429985046387)]"
974,"[Row(beer_beerid=52862, rating=5.323095321655273), Row(beer_beerid=51494, rating=5.263726711273193)]"
976,"[Row(beer_beerid=76115, rating=5.061070919036865), Row(beer_beerid=53731, rating=5.061070919036865)]"
984,"[Row(beer_beerid=51494, rating=5.138390064239502), Row(beer_beerid=42941, rating=5.075636863708496)]"
988,"[Row(beer_beerid=51494, rating=4.994340896606445), Row(beer_beerid=45680, rating=4.953576564788818)]"
992,"[Row(beer_beerid=52862, rating=5.229480266571045), Row(beer_beerid=51494, rating=5.144133567810059)]"
995,"[Row(beer_beerid=65602, rating=5.192347526550293), Row(beer_beerid=76115, rating=5.03785514831543)]"
1005,"[Row(beer_beerid=73262, rating=4.590997695922852), Row(beer_beerid=67231, rating=4.52202844619751)]"
1008,"[Row(beer_beerid=52862, rating=5.111994743347168), Row(beer_beerid=51494, rating=4.991404056549072)]"
1016,"[Row(beer_beerid=51494, rating=4.982614517211914), Row(beer_beerid=13222, rating=4.785647392272949)]"
1019,"[Row(beer_beerid=51494, rating=5.050769329071045), Row(beer_beerid=42941, rating=5.0070109367370605)]"
1025,"[Row(beer_beerid=52862, rating=4.885266304016113), Row(beer_beerid=42941, rating=4.880765438079834)]"
